"Id_zone","Type_zone","Libelle_zone","Public"
01|72101,Commune,Courcemont,1
01|49113,Commune,Courchamps (49),1
01|53083,Commune,Courcité,1
01|72102,Commune,Courcival,1
01|72103,Commune,Courdemanche (72),1
01|72104,Commune,Courgains,1
01|72105,Commune,Courgenard,1
01|49114,Commune,Courléon,1
01|72106,Commune,Courtillers,1
01|44047,Commune,Couëron,1
01|85070,Commune,Coëx,1
01|72107,Commune,Crannes-en-Champagne,1
01|53084,Commune,Craon (53),1
01|53085,Commune,Crennes-sur-Fraubée,1
01|72109,Commune,Crissé,1
01|72110,Commune,Crosmières,1
01|44050,Commune,Crossac,1
01|85076,Commune,Cugand,1
01|53088,Commune,Cuillé,1
01|72111,Commune,Cures,1
01|85077,Commune,Curzon,1
01|72051,Commune,Cérans-Foulletourte,1
01|85078,Commune,Damvix,1
01|72112,Commune,Dangeul,1
01|53089,Commune,Daon,1
01|72113,Commune,Degré,1
01|72114,Commune,Dehault,1
01|53090,Commune,Denazé,1
01|49120,Commune,Denée,1
01|44051,Commune,Derval,1
01|72115,Commune,Dissay-sous-Courcillon,1
01|49123,Commune,Distré,1
01|44029,Commune,Divatte-sur-Loire,1
01|85080,Commune,Doix lès Fontaines,1
01|72118,Commune,Dollon,1
01|72119,Commune,Domfront-en-Champagne,1
01|85081,Commune,Dompierre-sur-Yon,1
01|44052,Commune,Donges,1
01|72120,Commune,Doucelles,1
01|72121,Commune,Douillet,1
01|49125,Commune,Doué-en-Anjou,1
01|44053,Commune,Drefféac,1
01|72122,Commune,Duneau,1
01|72123,Commune,Dureil,1
01|49127,Commune,Durtal,1
01|49121,Commune,Dénezé-sous-Doué,1
01|53091,Commune,Désertines (53),1
01|53094,Commune,Entrammes,1
01|44054,Commune,Erbray,1
01|49367,Commune,Erdre-en-Anjou,1
01|53096,Commune,Ernée,1
01|85084,Commune,Essarts en Bocage,1
01|85086,Commune,Falleron,1
01|72129,Commune,Fatines,1
01|72130,Commune,Fay (72),1
01|44056,Commune,Fay-de-Bretagne,1
01|85087,Commune,Faymoreau,1
01|49135,Commune,Feneu,1
01|44058,Commune,Fercé,1
01|72131,Commune,Fercé-sur-Sarthe,1
01|72133,Commune,Fillé,1
01|72134,Commune,Flée,1
01|53098,Commune,Fontaine-Couverte,1
01|85092,Commune,Fontenay-le-Comte,1
01|72136,Commune,Fontenay-sur-Vègre,1
01|49140,Commune,Fontevraud-l'Abbaye,1
01|53099,Commune,Forcé,1
01|53100,Commune,Fougerolles-du-Plessis,1
01|85093,Commune,Fougeré,1
01|85094,Commune,Foussais-Payré,1
01|72138,Commune,Fresnay-sur-Sarthe,1
01|85095,Commune,Froidfond,1
01|53101,Commune,Fromentières (53),1
01|44061,Commune,Frossay,1
01|72139,Commune,Fyé,1
01|44057,Commune,Fégréac,1
01|53102,Commune,Gastines,1
01|44223,Commune,Geneston,1
01|53104,Commune,Gennes-Longuefuye,1
01|49261,Commune,Gennes-Val-de-Loire,1
01|53105,Commune,Gesnes,1
01|72141,Commune,Gesnes-le-Gandelin,1
01|53106,Commune,Gesvres,1
01|85100,Commune,Givrand,1
01|44064,Commune,Gorges (44),1
01|53107,Commune,Gorron,1
01|85102,Commune,Grand'Landes,1
01|44065,Commune,Grand-Auverné,1
01|72142,Commune,Grandchamp (72),1
01|44066,Commune,Grandchamps-des-Fontaines,1
01|53109,Commune,Grazay,1
01|49155,Commune,Grez-Neuville,1
01|53110,Commune,Grez-en-Bouère,1
01|85103,Commune,Grosbreuil,1
01|85104,Commune,Grues,1
01|72144,Commune,Gréez-sur-Roc,1
01|44068,Commune,Guenrouet,1
01|72146,Commune,Guécélard,1
01|44067,Commune,Guémené-Penfao,1
01|44069,Commune,Guérande,1
01|44063,Commune,Gétigné,1
01|53113,Commune,Hambers,1
01|53114,Commune,Hardanges,1
01|44071,Commune,Haute-Goulaine,1
01|44072,Commune,Herbignac,1
01|53115,Commune,Hercé,1
01|53117,Commune,Houssay (53),1
