Id_zone,Type_zone,Libelle_zone,value,label
06|5220,Zone d'emploi,Saumur,173,Zone d'emploi - Saumur
06|5221,Zone d'emploi,Segré-en-Anjou Bleu,174,Zone d'emploi - Segré-en-Anjou Bleu
08|491,Arrondissement,Angers,175,Arrondissement - Angers
08|492,Arrondissement,Cholet,176,Arrondissement - Cholet
08|531,Arrondissement,Château-Gontier,177,Arrondissement - Château-Gontier
08|445,Arrondissement,Châteaubriant-Ancenis,178,Arrondissement - Châteaubriant-Ancenis
08|851,Arrondissement,Fontenay-le-Comte,179,Arrondissement - Fontenay-le-Comte
08|721,Arrondissement,La Flèche,180,Arrondissement - La Flèche
08|852,Arrondissement,La Roche-sur-Yon,181,Arrondissement - La Roche-sur-Yon
08|532,Arrondissement,Laval,182,Arrondissement - Laval
08|723,Arrondissement,Le Mans,183,Arrondissement - Le Mans
08|853,Arrondissement,Les Sables-d'Olonne,184,Arrondissement - Les Sables-d'Olonne
08|722,Arrondissement,Mamers,185,Arrondissement - Mamers
08|533,Arrondissement,Mayenne,186,Arrondissement - Mayenne
08|442,Arrondissement,Nantes,187,Arrondissement - Nantes
08|443,Arrondissement,Saint-Nazaire,188,Arrondissement - Saint-Nazaire
08|493,Arrondissement,Saumur,189,Arrondissement - Saumur
08|494,Arrondissement,Segré,190,Arrondissement - Segré
07|441,EFOP,Loire-Atlantique Centre,191,EFOP - Loire-Atlantique Centre
07|442,EFOP,Loire-Atlantique Nord,192,EFOP - Loire-Atlantique Nord
07|443,EFOP,Loire-Atlantique Ouest,193,EFOP - Loire-Atlantique Ouest
07|444,EFOP,Loire-Atlantique Sud,194,EFOP - Loire-Atlantique Sud
07|491,EFOP,Maine-et-Loire Centre,195,EFOP - Maine-et-Loire Centre
07|492,EFOP,Maine-et-Loire Est,196,EFOP - Maine-et-Loire Est
07|493,EFOP,Maine-et-Loire Ouest,197,EFOP - Maine-et-Loire Ouest
07|494,EFOP,Maine-et-Loire Sud,198,EFOP - Maine-et-Loire Sud
